"Kod"	"Överordnad kod"	"Titel"	"Förkortning(ar)"	"Beskrivning"	"Exempel"	"Innefattar"	"Utesluter"	"Kodningsinformation"
"ACC13"	"ACC"	"Genomskärning av perifer nerv - ulnaris"	""	""	""	""	""	""
"ACC14"	"ACC"	"Genomskärning av perifer nerv - peroneus"	""	""	""	""	""	""
"ACC15"	"ACC"	"Genomskärning av perifer nerv - tibialis"	""	""	""	""	""	""
"ACC16"	"ACC"	"Genomskärning av perifer nerv - ischiadicus"	""	""	""	""	""	""
"ACC17"	"ACC"	"Genomskärning av perifer nerv - plexus lumbalis"	""	""	""	""	""	""
"ACC18"	"ACC"	"Genomskärning av perifer nerv - plexus brachialis"	""	""	""	""	""	""
"ACC19"	"ACC"	"Genomskärning av perifer nerv - annan eller ospecificerad nerv"	""	""	""	""	""	""
"ACC21"	"ACC"	"Rekonstruktion av perifer nerv - medianus"	""	""	""	""	""	""
"ACC22"	"ACC"	"Rekonstruktion av perifer nerv - radialis"	""	""	""	""	""	""
"ACC23"	"ACC"	"Rekonstruktion av perifer nerv - ulnaris"	""	""	""	""	""	""
"ACC24"	"ACC"	"Rekonstruktion av perifer nerv - peroneus"	""	""	""	""	""	""
"ACC25"	"ACC"	"Rekonstruktion av perifer nerv - tibialis"	""	""	""	""	""	""
"ACC26"	"ACC"	"Rekonstruktion av perifer nerv - ischiadicus"	""	""	""	""	""	""
"ACC27"	"ACC"	"Rekonstruktion av perifer nerv - plexus lumbalis"	""	""	""	""	""	""
"ACC28"	"ACC"	"Rekonstruktion av perifer nerv - plexus brachialis"	""	""	""	""	""	""
"ACC29"	"ACC"	"Rekonstruktion av perifer nerv - annan eller ospecificerad nerv"	""	""	""	""	""	""
"ACC41"	"ACC"	"Transposition av perifer nerv - medianus"	""	""	""	""	""	""
"ACC42"	"ACC"	"Transposition av perifer nerv - radialis"	""	""	""	""	""	""
"ACC43"	"ACC"	"Transposition av perifer nerv - ulnaris"	""	""	""	""	""	""
"ACC44"	"ACC"	"Transposition av perifer nerv - peroneus"	""	""	""	""	""	""
"ACC45"	"ACC"	"Transposition av perifer nerv - tibialis"	""	""	""	""	""	""
"ACC46"	"ACC"	"Transposition av perifer nerv - ischiadicus"	""	""	""	""	""	""
"ACC47"	"ACC"	"Transposition av perifer nerv - plexus lumbalis"	""	""	""	""	""	""
"ACC48"	"ACC"	"Transposition av perifer nerv - plexus brachialis"	""	""	""	""	""	""
"ACC49"	"ACC"	"Transposition av perifer nerv - annan eller ospecificerad nerv"	""	""	""	""	""	""
"ACC51"	"ACC"	"Dekompression av perifer nerv - medianus"	""	""	""	"Adherenslösning"	""	""
"ACC52"	"ACC"	"Dekompression av perifer nerv - radialis"	""	""	""	"Adherenslösning"	""	""
"ACC53"	"ACC"	"Dekompression av perifer nerv - ulnaris"	""	""	""	"Adherenslösning"	""	""
"ACC54"	"ACC"	"Dekompression av perifer nerv - peroneus"	""	""	""	"Adherenslösning"	""	""
"ACC55"	"ACC"	"Dekompression av perifer nerv - tibialis"	""	""	""	"Adherenslösning"	""	""
"ACC56"	"ACC"	"Dekompression av perifer nerv - ischiadicus"	""	""	""	"Adherenslösning"	""	""
"ACC57"	"ACC"	"Dekompression av perifer nerv - plexus lumbalis"	""	""	""	"Adherenslösning"	""	""
"ACC58"	"ACC"	"Dekompression av perifer nerv - plexus brachialis"	""	""	""	"Adherenslösning"	""	""
"ACC59"	"ACC"	"Dekompression av perifer nerv - annan eller ospecificerad nerv"	""	""	""	"Adherenslösning"	""	""
"ACC91"	"ACC"	"Annan operation på perifer nerv p.g.a. funktionell rubbning - medianus"	""	""	""	""	""	""
"ACC92"	"ACC"	"Annan operation på perifer nerv p.g.a. funktionell rubbning - radialis"	""	""	""	""	""	""
"ACC93"	"ACC"	"Annan operation på perifer nerv p.g.a. funktionell rubbning - ulnaris"	""	""	""	""	""	""
"ACC94"	"ACC"	"Annan operation på perifer nerv p.g.a. funktionell rubbning - peroneus"	""	""	""	""	""	""
"ACC95"	"ACC"	"Annan operation på perifer nerv p.g.a. funktionell rubbning - tibialis"	""	""	""	""	""	""
"ACC96"	"ACC"	"Annan operation på perifer nerv p.g.a. funktionell rubbning - ischiadicus"	""	""	""	""	""	""
"ACC97"	"ACC"	"Annan operation på perifer nerv p.g.a. funktionell rubbning - plexus lumbalis"	""	""	""	""	""	""
"ACC98"	"ACC"	"Annan operation på perifer nerv p.g.a. funktionell rubbning - plexus brachialis"	""	""	""	""	""	""
"ACC99"	"ACC"	"Annan operation på perifer nerv p.g.a. funktionell rubbning - annan eller ospecificerad nerv"	""	""	""	""	""	""
"ACW"	"AC"	"Andra operationer på perifera nerver"	""	""	""	""	""	""
"ACW99"	"ACW"	"Annan operation på perifer nerv"	""	""	""	""	""	""
"AD"	"A"	"Operationer på autonoma nervsystemet"	""	""	""	""	""	""
"ADA"	"AD"	"Operationer på sympatiska nervsystemet"	""	""	""	""	"Sympatikusblockad, se TAD00"	""
"ADA10"	"ADA"	"Cervikal sympatektomi"	""	""	""	""	""	""
"ADA20"	"ADA"	"Torakal sympatektomi"	""	""	""	""	""	""
"ADA21"	"ADA"	"Torakoskopisk sympatektomi"	""	""	""	""	""	""
"ADA30"	"ADA"	"Lumbal sympatektomi"	""	""	""	""	""	"Tilläggskod för extraperitonealt laparoskopiskt tillvägagångssätt, se ZXC90"
"ADA31"	"ADA"	"Laparoskopisk sympatektomi"	""	""	""	""	""	""
"ADA40"	"ADA"	"Perkutan transluminal ablation av sympatiska njurnerver"	""	""	"Renal denervering med lågfrekvent radiofrekvensenergi (RF)"	""	""	""
"ADA99"	"ADA"	"Annan operation på sympatiska nervsystemet"	""	""	""	""	""	""
"ADB"	"AD"	"Operationer på vagusnerver"	""	""	""	""	"Vagotomi, se JDG"	""
"ADB00"	"ADB"	"Inläggande av vagusnervsstimuleringsutrustning"	""	""	""	""	"Byte av impulsgenerator och avlägsnande av utrustning, se AEA"	""
"ADW"	"AD"	"Andra operationer på autonoma nervsystemet"	""	""	""	""	""	""
"ADW99"	"ADW"	"Annan operation på autonoma nervsystemet"	""	""	""	""	""	""
"AE"	"A"	"Diverse operationer på nervsystemet"	""	""	""	""	""	""
"AEA"	"AE"	"Operationer med stimuleringsutrustning och injektionsport i nervsystemet"	""	"Stimuleringsutrustning och injektionsport i AAA, AAG, AAW, ABD, ADB"	""	""	""	""
"AEA00"	"AEA"	"Byte av impulsgenerator i stimuleringsutrustning i nervsystemet"	""	""	""	""	""	""
"AEA20"	"AEA"	"Avlägsnande av impulsgenerator i stimuleringsutrustning i nervsystemet"	""	""	""	""	""	""
"AEA23"	"AEA"	"Avlägsnande av intrakraniell elektrod"	""	""	""	""	""	""
"AEA24"	"AEA"	"Avlägsnande av spinal stimuleringselektrod"	""	""	""	""	""	""
"AEA25"	"AEA"	"Avlägsnande av stimuleringselektrod"	""	""	""	""	""	""
"AEA27"	"AEA"	"Byte av spinal stimuleringselektrod"	""	""	""	""	""	""
"AEA30"	"AEA"	"Byte av inopererad pump i injektionsutrustning i nervsystemet"	""	""	""	""	""	""
"AEA40"	"AEA"	"Avlägsnande av inopererad pump i injektionsutrustning i nervsystemet"	""	""	""	""	""	""
"AEA43"	"AEA"	"Avlägsnande av kateter i intrakraniell injektionsutrustning"	""	""	""	""	""	""
"AEA44"	"AEA"	"Avlägsnande av kateter i spinal injektionsutrustning"	""	""	""	""	""	""
"AW"	"A"	"Reoperationer på nervsystemet"	""	""	""	""	""	""
"AWA"	"AW"	"Reoperation för sårruptur efter ingrepp på nervsystemet"	""	""	""	""	""	""
"AWA00"	"AWA"	"Reoperation för sårruptur efter ingrepp på nervsystemet"	""	""	""	""	""	""
"AWB"	"AW"	"Reoperation för ytlig infektion efter ingrepp på nervsystemet"	""	""	""	"Sårinfektion"	""	""
"AWB00"	"AWB"	"Reoperation för ytlig infektion efter ingrepp på nervsystemet"	""	""	""	""	""	""
"AWC"	"AW"	"Reoperation för djup infektion efter ingrepp på nervsystemet"	""	""	""	""	""	""
"AWC00"	"AWC"	"Reoperation för djup infektion efter ingrepp på nervsystemet"	""	""	""	""	""	""
"AWD"	"AW"	"Reoperation för ytlig blödning efter ingrepp på nervsystemet"	""	""	""	""	""	""
"AWD00"	"AWD"	"Reoperation för ytlig blödning efter ingrepp på nervsystemet"	""	""	""	""	""	""
"AWE"	"AW"	"Reoperation för djup blödning efter ingrepp på nervsystemet"	""	""	""	""	""	""
"AWE00"	"AWE"	"Reoperation för djup blödning efter ingrepp på nervsystemet"	""	""	""	""	""	""
"AWW"	"AW"	"Annan reoperation på nervsystemet"	""	""	""	""	""	""
"AWW99"	"AWW"	"Annan reoperation på nervsystemet"	""	""	""	""	""	""
"B"	""	"Operationer på endokrina organ"	""	""	""	""	"Operationer på hypofysen och corpus pineale, se kapitel A"	""
"B"	""	""	""	""	""	""	"Operationer på tymus, se GEC"	""
"B"	""	""	""	""	""	""	"Punktion, punktionsbiopsi och aspirationscytologi, se TB"	""
"BA"	"B"	"Operationer på sköldkörteln"	""	""	""	""	""	""
"BAA"	"BA"	"Operationer på sköldkörteln"	""	""	""	""	""	""
"BAA00"	"BAA"	"Biopsi av sköldkörteln"	""	""	""	""	""	""
"BAA05"	"BAA"	"Exploration av sköldkörteln"	""	""	""	""	""	""
"BAA10"	"BAA"	"Incision i sköldkörteln"	""	""	""	"Dränage, avlägsnande av främmande kropp"	""	""
"BAA20"	"BAA"	"Unilateral resektion av sköldkörteln"	""	""	""	"Enukleation"	""	""
"BAA25"	"BAA"	"Bilateral resektion av sköldkörteln"	""	""	""	""	""	""
"BAA30"	"BAA"	"Istmusresektion av sköldkörteln"	""	""	""	""	""	""
"BAA40"	"BAA"	"Unilateral lobektomi av sköldkörteln"	""	""	""	""	""	""
"BAA50"	"BAA"	"Lobektomi och resektion av kontralateral lob på sköldkörteln"	""	""	""	""	""	""
"BAA60"	"BAA"	"Tyreoidektomi"	""	""	""	""	""	""
"BAA99"	"BAA"	"Annan operation på sköldkörteln"	""	""	""	""	""	""
"BB"	"B"	"Operationer på bisköldkörtlar"	""	""	""	""	""	""
"BBA"	"BB"	"Operationer på bisköldkörtlar"	""	""	""	""	""	""
"BBA10"	"BBA"	"Biopsi av bisköldkörtel"	""	""	""	""	""	""
"BBA20"	"BBA"	"Exploration av bisköldkörtel"	""	""	""	""	""	""
"BBA30"	"BBA"	"Exstirpation av bisköldkörtel"	""	"Exstirpation av en eller två bisköldkörtlar då mer än en körtel är kvar"	""	"Adenom"	""	""
"BBA40"	"BBA"	"Subtotal paratyreoidektomi"	""	"Exstirpation av alla utom en bisköldkörtel"	""	""	""	""
"BBA50"	"BBA"	"Total paratyreoidektomi"	""	"Exstirpation av alla bisköldkörtlar"	""	""	""	""
"BBA70"	"BBA"	"Implantation eller transplantation av bisköldkörtel"	""	""	""	""	""	""
"BBA99"	"BBA"	"Annan operation på bisköldkörtel"	""	""	""	""	""	""
"BC"	"B"	"Operationer på binjurar"	""	""	""	""	""	""
"BCA"	"BC"	"Operationer på binjurar"	""	""	""	""	""	""
"BCA10"	"BCA"	"Biopsi av binjure"	""	""	""	""	""	""
"BCA11"	"BCA"	"Laparoskopisk biopsi av binjure"	""	""	""	""	""	""
"BCA15"	"BCA"	"Incision i binjure"	""	""	""	"Dränage, avlägsnande av främmande kropp"	""	""
"BCA20"	"BCA"	"Resektion av binjure"	""	""	""	""	""	""
"BCA30"	"BCA"	"Unilateral adrenalektomi"	""	""	""	""	""	""
"BCA31"	"BCA"	"Laparoskopisk adrenalektomi, unilateral"	""	""	""	""	""	""
"BCA40"	"BCA"	"Bilateral adrenalektomi"	""	""	""	""	""	""
"BCA41"	"BCA"	"Laparoskopisk adrenalektomi, bilateral"	""	""	""	""	""	""
"BCA99"	"BCA"	"Annan operation på binjure"	""	""	""	""	""	""
"BD"	"B"	"Operationer på karotiskörtlar"	""	""	""	""	""	""
"BDA"	"BD"	"Operationer på karotiskörtlar"	""	""	""	""	""	""
"BDA10"	"BDA"	"Operation på glomus caroticum"	""	""	""	""	""	""
"BW"	"B"	"Reoperationer på endokrina organ"	""	""	""	""	""	""
"BWA"	"BW"	"Reoperation för sårruptur efter ingrepp på endokrina organ"	""	""	""	""	""	""
"BWA00"	"BWA"	"Reoperation för sårruptur efter ingrepp på endokrina organ"	""	""	""	""	""	""
"BWB"	"BW"	"Reoperation för ytlig infektion efter ingrepp på endokrina organ"	""	""	""	"Sårinfektion"	""	""
"BWB00"	"BWB"	"Reoperation för ytlig infektion efter ingrepp på endokrina organ"	""	""	""	""	""	""
"BWC"	"BW"	"Reoperation för djup infektion efter ingrepp på endokrina organ"	""	""	""	""	""	""
"BWC00"	"BWC"	"Reoperation för djup infektion efter ingrepp på endokrina organ"	""	""	""	""	""	""
"BWD"	"BW"	"Reoperation för ytlig blödning efter ingrepp på endokrina organ"	""	""	""	""	""	""
"BWD00"	"BWD"	"Reoperation för ytlig blödning efter ingrepp på endokrina organ"	""	""	""	""	""	""
"BWE"	"BW"	"Reoperation för djup blödning efter ingrepp på endokrina organ"	""	""	""	""	""	""
"BWE00"	"BWE"	"Reoperation för djup blödning efter ingrepp på endokrina organ"	""	""	""	""	""	""
"BWW"	"BW"	"Annan reoperation på endokrina organ"	""	""	""	""	""	""
"BWW99"	"BWW"	"Annan reoperation på endokrina organ"	""	""	""	""	""	""
"C"	""	"Operationer och speciella undersökningar i ögonregionen"	""	""	""	""	"Punktion, punktionsbiopsi och andra mindre operationer, se TC"	""
"CA"	"C"	"Operationer på ögonhålor"	""	""	""	""	""	""
"CAA"	"CA"	"Punktioner, incisioner i och biopsier av ögonhålor"	""	""	""	""	"Punktionsbiopsi och aspirationscytologi, se TCA"	""
"CAA00"	"CAA"	"Punktion av orbitaabscess"	""	""	""	""	""	""
"CAA10"	"CAA"	"Explorativ främre orbitotomi"	""	""	""	""	""	""
"CAA20"	"CAA"	"Explorativ lateral orbitotomi"	""	""	""	""	""	""
"CAA30"	"CAA"	"Biopsi av orbita"	""	""	""	""	""	""
"CAB"	"CA"	"Exstirpationer av patologisk förändring från ögonhålor"	""	""	""	"Avlägsnande av främmande kropp"	""	""
"CAB00"	"CAB"	"Främre orbitotomi med exstirpation"	""	""	""	""	""	""
"CAB10"	"CAB"	"Lateral orbitotomi med exstirpation"	""	""	""	""	""	""
"CAB40"	"CAB"	"Exstirpation via transkraniell orbitotomi"	""	""	""	""	""	""
"CAB50"	"CAB"	"Orbitotomi med avlägsnande av främmande kropp"	""	""	""	""	""	""
"CAC"	"CA"	"Operationer på ögonhålors benväggar"	""	""	""	""	"Avlägsnande av implantat och externt fixationsmaterial, se AAU00, EEU00, EFU00"	""
"CAC00"	"CAC"	"Rekonstruktion av orbitas benvägg"	""	""	""	""	""	""
"CAC10"	"CAC"	"Rekonstruktion av orbitas benvägg med ben- eller hudtransplantat"	""	""	""	""	""	""
"CAC20"	"CAC"	"Dekompressiv lateral orbitotomi"	""	""	""	""	""	""
"CAC30"	"CAC"	"Dekompressiv orbitotomi till bihålor"	""	""	""	""	""	""
"CAC40"	"CAC"	"Transkraniell dekompression av orbitatak eller optikuskanal"	""	""	""	""	""	""
"CAC42"	"CAC"	"Dekompression av orbita via koronalt angreppssätt"	""	""	""	""	""	""
"CAC44"	"CAC"	"Kombinerad dekompression av orbita"	""	""	""	""	""	""
"CAC50"	"CAC"	"Korrektion av medfödd missbildning av orbitas benvägg"	""	""	""	""	""	""
"CAD"	"CA"	"Utrymning av hel ögonhåla"	""	""	""	""	""	""
"CAD00"	"CAD"	"Exenteration av orbita, täckning med transplantat eller lambå"	""	""	""	""	""	"Tilläggskoder för specifikation av transplantat eller lambå, se ZZ"
"CAE"	"CA"	"Operationer vid anoftalmus och efter enukleation eller evisceration av öga"	""	""	""	""	""	""
"CAE00"	"CAE"	"Avlägsnande av implantat i orbita"	""	""	""	""	""	""
"CAE10"	"CAE"	"Revision och sekundärt inläggande av implantat i orbita"	""	""	""	""	""	""
"CAE20"	"CAE"	"Revision av konjunktivalhålan med transplantat"	""	""	""	""	""	""
"CAW"	"CA"	"Andra operationer på ögonhålor"	""	""	""	""	""	""
"CAW99"	"CAW"	"Annan operation på orbita"	""	""	""	""	""	""
"CB"	"C"	"Operationer på ögonlock och ögonbryn"	""	""	""	""	"Operationer på ögonbryn p.g.a. andra tillstånd än ptos, se QAF"	""
"CBA"	"CB"	"Incisioner i och biopsier av ögonlock"	""	""	""	""	""	""
"CBA00"	"CBA"	"Incision i ögonlock"	""	""	""	""	""	""
"CBA10"	"CBA"	"Biopsi av ögonlock"	""	""	""	""	""	""
"CBB"	"CB"	"Incisioner i eller excisioner av ögonlock, avlägsnande av lokal förändring"	""	""	""	""	""	""
"CBB00"	"CBB"	"Excision eller exkokleation av kalazion"	""	""	""	""	""	""
"CBB10"	"CBB"	"Excision av hud, operation för dermatokalasis"	""	""	""	""	""	""
"CBB15"	"CBB"	"Resektion av fettprolaps"	""	""	""	""	""	""
"CBB20"	"CBB"	"Resektion av hud och fettprolaps"	""	""	""	""	""	""
"CBB30"	"CBB"	"Exstirpation av tumör eller lokal förändring i ögonlock"	""	""	""	""	"Excision eller exkokleation av kalazion, se CBB00"	""
"CBB32"	"CBB"	"Destruktion av lokal förändring i ögonlock"	""	""	""	""	""	"Tilläggskod för användande av laser eller annan teknik, se ZXC"
"CBB50"	"CBB"	"Exstirpation av tumör eller lokal förändring i ögonlock, rekonstruktion med transplantat eller lambå"	""	""	""	""	""	"Tilläggskoder för specifikation av transplantat eller lambå, se ZZ"
"CBB99"	"CBB"	"Annat avlägsnande av tumör eller lokal förändring i ögonlock"	""	""	""	""	""	""
"CBC"	"CB"	"Operationer vid skador på ögonlock"	""	""	""	""	""	""
"CBC00"	"CBC"	"Sutur av ögonlock"	""	""	""	"Revision"	""	""
"CBC10"	"CBC"	"Avlägsnande av främmande kropp i ögonlock"	""	""	""	""	"För yttre sköljning av ögat se, DC011 Ögonspolning"	""
"CBC99"	"CBC"	"Annan operation vid skada på ögonlock"	""	""	""	""	""	""
"CBD"	"CB"	"Rekonstruktioner av ögonlock"	""	""	""	""	""	""
"CBD00"	"CBD"	"Rekonstruktion av ögonlock med primärsutur"	""	""	""	""	""	""
"CBD10"	"CBD"	"Rekonstruktion av ögonlock med transplantat eller lambå"	""	""	""	""	""	"Tilläggskoder för specifikation av transplantat eller lambå, se ZZ"
"CBD11"	"CBD"	"Öppning av lambå efter ögonlocksrekonstruktion"	""	""	""	""	""	""
"CBD99"	"CBD"	"Annan rekonstruktion av ögonlock"	""	""	""	""	""	""
"CBG"	"CB"	"Operationer för trikiasis"	""	""	""	""	""	""
"CBG00"	"CBG"	"Elektrolysepilation av cilier"	""	""	""	""	"Enkel epilation, se TCB10"	""
"CBG10"	"CBG"	"Kryobehandling för trikiasis"	""	""	""	""	""	""
"CBG20"	"CBG"	"Rekonstruktion av ögonlockskanten vid trikiasis"	""	""	""	""	""	""
"CBG99"	"CBG"	"Annan operation för trikiasis"	""	""	""	""	""	""
"CBH"	"CB"	"Operationer på ögonvrå och ögonlockskanten"	""	""	""	""	"Stramning av canthalligament, se CBN30"	""
"CBH00"	"CBH"	"Kantotomi"	""	""	""	""	""	""
"CBH05"	"CBH"	"Kantopexi"	""	""	""	""	""	""
"CBH10"	"CBH"	"Rekonstruktion av kantus, eventuellt med transplantation"	""	""	""	""	""	""
"CBH25"	"CBH"	"Tarsorafi"	""	""	""	"Total tarsorafi (medial och lateral)"	""	""
"CBH40"	"CBH"	"Uppklippning av tarsorafi"	""	""	""	""	""	""
"CBH50"	"CBH"	"Rekonstruktiv operation för epikantus"	""	""	""	""	""	""
"CBH99"	"CBH"	"Annan operation på kantus eller ögonlockskant"	""	""	""	""	""	""
"CBJ"	"CB"	"Operationer för ptos av ögonlock och ögonbryn"	""	""	""	""	"Avlägsnande av ptossutur, se TCB20"	""
"CBJ00"	"CBJ"	"Lyftning av ögonlock med suturslynga"	""	""	""	""	""	""
"CBJ10"	"CBJ"	"Korrektion av ögonlocksptos med slynga"	""	""	""	"Fasciestrimla eller syntetiskt material"	""	""
"CBJ20"	"CBJ"	"Tarsomyektomi på ögonlock"	""	""	""	""	""	""
"CBJ30"	"CBJ"	"Rekonstruktion av levatormuskelaponeuros"	""	""	""	""	""	""
"CBJ40"	"CBJ"	"Resektion av levatormuskel"	""	""	""	""	""	""
"CBJ45"	"CBJ"	"Stramning av övre tarsalmuskel"	""	"Synonym: Müllers muskel"	""	""	""	""
"CBJ50"	"CBJ"	"Operation för ögonbrynsptos"	""	""	""	""	"Annan operation vid ansiktsförlamning, se AAP"	""
"CBJ99"	"CBJ"	"Annan operation för ptos"	""	""	""	""	""	""
"CBK"	"CB"	"Operationer för lagoftalmus och ögonlocksretraktion"	""	""	""	""	""	""
"CBK00"	"CBK"	"Korrektion av ögonlocksretraktion"	""	""	""	"Myotomi eller partiell excision av ögonlockets tarsalmuskel eller levatormuskel"	""	""
"CBK10"	"CBK"	"Operation för lagoftalmus"	""	""	""	""	""	""
"CBK99"	"CBK"	"Annan operation för lagoftalmus eller ögonlocksretraktion"	""	""	""	""	""	""
"CBL"	"CB"	"Operationer vid blefarospasm"	""	""	""	""	""	""
"CBL00"	"CBL"	"Myektomi eller neurotomi vid blefarospasm"	""	""	""	""	""	""
"CBL99"	"CBL"	"Annan operation vid blefarospasm"	""	""	""	""	""	""
"CBN"	"CB"	"Operationer för entropion och ektropion"	""	""	""	""	""	""
"CBN00"	"CBN"	"Eversionssutur av ögonlock"	""	""	""	""	""	""
"CBN10"	"CBN"	"Flyttning och stramning av orbicularis oculi"	""	""	""	""	""	""
"CBN20"	"CBN"	"Stramning av ögonlocksretraktorer"	""	""	""	""	""	""
"CBN30"	"CBN"	"Stramning av canthalligament"	""	""	""	""	""	""
"CBN40"	"CBN"	"Excision av tarsus"	""	""	""	""	""	""
"CBN50"	"CBN"	"Excision av tarsus och hud"	""	""	""	""	""	""
"CBN60"	"CBN"	"Excision av ögonlocksärr och plastikrekonstruktion"	""	""	""	""	""	"Tilläggskod för specificering av teknik och typ av lambå, se ZZ"
"CBN99"	"CBN"	"Annan ögonlocksoperation p.g.a. felställning"	""	""	""	""	""	""
"CBW"	"CB"	"Andra operationer på ögonlock"	""	""	""	""	""	""
"CBW99"	"CBW"	"Annan operation på ögonlock"	""	""	""	""	""	""
"CC"	"C"	"Operationer på tårkörtlar och tårvägar"	""	""	""	""	""	""
"CCA"	"CC"	"Incisioner i och biopsier av tårkörtlar och tårkanaler"	""	""	""	""	""	""
"CCA00"	"CCA"	"Incision i tårkörtel"	""	""	""	"Avlägsnande av främmande kropp"	""	""
"CCA10"	"CCA"	"Biopsi av tårkörtel"	""	""	""	""	""	""
"CCA20"	"CCA"	"Incision i tårpunkt eller tårkanalikel"	""	""	""	""	""	""
"CCA30"	"CCA"	"Incision i tårsäck"	""	""	""	"Avlägsnande av främmande kropp"	""	""
"CCA40"	"CCA"	"Biopsi av tårkanal"	""	""	""	""	""	""
"CCB"	"CC"	"Andra operationer på tårkörtlar"	""	""	""	""	""	""
"CCB00"	"CCB"	"Resektion av tårkörtel"	""	""	""	""	""	""
"CCB10"	"CCB"	"Exstirpation av tårkörtel"	""	""	""	""	""	""
"CCB99"	"CCB"	"Annan operation på tårkörtel"	""	""	""	""	""	""
"CCC"	"CC"	"Andra operationer på tårkanaler"	""	""	""	""	"Sondering eller intubation av tårkanal, se TCC"	""
"CCC00"	"CCC"	"Slutning av tårpunkt eller tårkanalikel"	""	""	""	""	""	""
"CCC50"	"CCC"	"Exstirpation av tårsäck"	""	""	""	"Ev. slutning av tårpunkter"	""	""
"CCC99"	"CCC"	"Annan operation på tårkanal"	""	""	""	""	""	""
"CCD"	"CC"	"Rekonstruktiva operationer på tårvägar"	""	""	""	""	""	""
"CCD00"	"CCD"	"Exstirpation och slutning av tårfistel"	""	""	""	""	""	""
"CCD10"	"CCD"	"Sutur av tårkanalikel"	""	""	""	""	""	""
"CCD20"	"CCD"	"Sutur av tårkanalikel med intubation"	""	""	""	""	""	""
"CCD30"	"CCD"	"Rekonstruktion av tårkanalikel"	""	""	""	""	""	""
"CCD40"	"CCD"	"Perkutan dakryocystorinostomi"	""	""	""	""	""	""
"CCD50"	"CCD"	"Dakryocystorinostomi med inläggande av rör"	""	""	""	""	""	""
"CCD60"	"CCD"	"Transnasal dakryocystorinostomi"	""	""	""	""	""	""
"CCD70"	"CCD"	"Konjunktivocystorinostomi med inläggande av rör"	""	""	""	""	""	""
